id,cycle,T24,T30,T50,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,WC,time_id,time_id_back
1.0,1.0,642.36,1583.23,1396.84,21.61,553.97,2387.96,9062.17,47.3,522.31,2388.01,8145.32,8.4246,391.0,39.11,23.3537,258.0,0,1.0,259.0
1.0,2.0,642.5,1584.69,1396.89,21.61,554.55,2388.0,9061.78,47.23,522.42,2388.03,8152.85,8.4403,392.0,38.99,23.4491,257.0,0,2.0,258.0
1.0,3.0,642.18,1582.35,1405.61,21.61,554.43,2388.03,9070.23,47.22,522.03,2388.0,8150.17,8.3901,391.0,38.85,23.3669,256.0,0,3.0,257.0
1.0,4.0,642.92,1585.61,1392.27,21.61,555.21,2388.0,9064.57,47.24,522.49,2388.08,8146.56,8.3878,392.0,38.96,23.2951,255.0,0,4.0,256.0
1.0,5.0,641.68,1588.63,1397.65,21.61,554.74,2388.04,9076.14,47.15,522.58,2388.03,8147.8,8.3869,392.0,39.14,23.4583,254.0,0,5.0,255.0
1.0,6.0,642.24,1584.09,1400.01,21.61,554.75,2388.0,9074.98,47.07,522.42,2388.02,8144.92,8.4152,393.0,38.92,23.4281,253.0,0,6.0,254.0
1.0,7.0,642.58,1585.61,1401.09,21.61,554.58,2388.04,9074.65,47.38,522.46,2388.02,8147.05,8.3842,391.0,38.84,23.4087,252.0,0,7.0,253.0
1.0,8.0,642.32,1588.32,1397.08,21.6,554.85,2388.06,9063.54,47.31,522.1,2387.97,8157.34,8.419,391.0,39.05,23.459,251.0,0,8.0,252.0
1.0,9.0,641.64,1587.81,1406.51,21.61,554.13,2388.04,9067.2,47.31,521.83,2388.01,8147.2,8.4091,392.0,38.99,23.4693,250.0,0,9.0,251.0
1.0,10.0,642.42,1587.39,1402.25,21.61,554.78,2387.99,9070.04,47.35,521.96,2387.99,8152.86,8.3987,391.0,38.94,23.4781,249.0,0,10.0,250.0
1.0,11.0,642.28,1582.38,1391.88,21.61,554.3,2388.01,9068.24,47.35,522.23,2388.03,8144.53,8.4235,392.0,38.97,23.4127,248.0,0,11.0,249.0
1.0,12.0,641.88,1583.24,1397.74,21.6,554.35,2388.04,9075.26,47.26,522.13,2387.98,8149.04,8.359,392.0,39.09,23.366,247.0,0,12.0,248.0
1.0,13.0,641.92,1589.68,1395.55,21.61,554.52,2387.98,9066.53,47.14,522.06,2388.02,8151.88,8.3821,391.0,39.04,23.4273,246.0,0,13.0,247.0
1.0,14.0,642.66,1587.29,1400.9,21.61,555.17,2388.02,9067.34,47.28,522.54,2387.97,8148.13,8.4277,390.0,39.03,23.386,245.0,0,14.0,246.0
1.0,15.0,642.34,1580.8,1396.5,21.61,553.96,2387.95,9069.89,47.29,522.72,2388.0,8150.63,8.4007,390.0,39.02,23.4556,244.0,0,15.0,245.0
1.0,16.0,641.68,1587.32,1395.49,21.6,553.82,2388.02,9071.14,47.14,522.28,2387.98,8147.5,8.4197,391.0,38.96,23.3717,243.0,0,16.0,244.0
1.0,17.0,641.9,1591.12,1395.08,21.61,555.06,2388.0,9060.74,47.0,521.98,2387.93,8154.66,8.3761,393.0,39.04,23.3718,242.0,0,17.0,243.0
1.0,18.0,642.39,1578.96,1402.24,21.61,554.21,2387.97,9075.87,47.2,522.2,2388.01,8151.19,8.4205,392.0,39.12,23.5448,241.0,0,18.0,242.0
1.0,19.0,642.3,1584.04,1398.85,21.61,554.59,2387.98,9074.41,47.16,522.04,2387.98,8154.65,8.3727,391.0,39.01,23.408,240.0,0,19.0,241.0
1.0,20.0,642.26,1579.65,1395.59,21.61,554.49,2387.97,9071.28,47.16,523.02,2388.03,8146.24,8.4252,391.0,38.87,23.4903,239.0,0,20.0,240.0
1.0,21.0,642.62,1590.18,1398.01,21.61,554.0,2387.99,9074.66,47.26,522.77,2388.01,8148.33,8.422,391.0,38.92,23.5088,238.0,0,21.0,239.0
1.0,22.0,642.13,1586.21,1397.07,21.61,554.51,2387.98,9075.72,47.32,522.68,2388.03,8152.3,8.4134,392.0,39.02,23.3533,237.0,0,22.0,238.0
1.0,23.0,642.05,1586.03,1394.01,21.61,554.36,2387.99,9068.45,47.17,521.82,2388.03,8153.47,8.3946,391.0,39.06,23.4476,236.0,0,23.0,237.0
1.0,24.0,642.02,1585.13,1394.81,21.61,554.39,2387.96,9072.51,47.41,522.59,2388.02,8154.84,8.4162,391.0,39.07,23.4648,235.0,0,24.0,236.0
1.0,25.0,641.93,1586.82,1406.62,21.61,553.81,2387.99,9076.1,47.31,522.08,2388.04,8154.5,8.3952,391.0,38.85,23.3842,234.0,0,25.0,235.0
